tick,player_slot,team,pos_x,pos_y,health,mana,level,gold,net_worth,hero_id,hero_name
0,0,0,7000.0,7000.0,500,200,5,1000,2000,1,hero_0
0,1,0,7100.0,7050.0,600,250,6,1000,2000,2,hero_1
0,2,0,7200.0,7100.0,700,300,7,1000,2000,3,hero_2
0,3,0,7300.0,7150.0,800,350,8,1000,2000,4,hero_3
0,4,0,7400.0,7200.0,900,400,9,1000,2000,5,hero_4
0,5,1,7500.0,7250.0,1000,450,5,1000,2000,6,hero_5
0,6,1,7600.0,7300.0,1100,500,6,1000,2000,7,hero_6
0,7,1,7700.0,7350.0,1200,550,7,1000,2000,8,hero_7
0,8,1,7800.0,7400.0,1300,600,8,1000,2000,9,hero_8
0,9,1,7900.0,7450.0,1400,650,9,1000,2000,10,hero_9
30,0,0,7000.0,7000.0,500,200,5,1000,2000,1,hero_0
30,1,0,7100.0,7050.0,600,250,6,1000,2000,2,hero_1
30,2,0,7200.0,7100.0,700,300,7,1000,2000,3,hero_2
30,3,0,7300.0,7150.0,800,350,8,1000,2000,4,hero_3
30,4,0,7400.0,7200.0,900,400,9,1000,2000,5,hero_4
30,5,1,7500.0,7250.0,1000,450,5,1000,2000,6,hero_5
30,6,1,7600.0,7300.0,1100,500,6,1000,2000,7,hero_6
30,7,1,7700.0,7350.0,1200,550,7,1000,2000,8,hero_7
30,8,1,7800.0,7400.0,1300,600,8,1000,2000,9,hero_8
30,9,1,7900.0,7450.0,1400,650,9,1000,2000,10,hero_9
60,0,0,7000.0,7000.0,500,200,5,1000,2050,1,hero_0
60,1,0,7100.0,7050.0,600,250,6,1000,2050,2,hero_1
60,2,0,7200.0,7100.0,700,300,7,1000,2050,3,hero_2
60,3,0,7300.0,7150.0,800,350,8,1000,2050,4,hero_3
60,4,0,7400.0,7200.0,900,400,9,1000,2050,5,hero_4
60,5,1,7500.0,7250.0,1000,450,5,1000,2050,6,hero_5
60,6,1,7600.0,7300.0,1100,500,6,1000,2050,7,hero_6
60,7,1,7700.0,7350.0,1200,550,7,1000,2050,8,hero_7
60,8,1,7800.0,7400.0,1300,600,8,1000,2050,9,hero_8
60,9,1,7900.0,7450.0,1400,650,9,1000,2050,10,hero_9
90,0,0,7000.0,7000.0,500,200,5,1000,2050,1,hero_0
90,1,0,7100.0,7050.0,600,250,6,1000,2050,2,hero_1
